Token 104, string inmt, line number 2
Token 110, string maimn, line number 2
Token 152, string (, line number 2
Token 153, string ), line number 2
Token 150, string {, line number 3
Token 104, string inmt, line number 4
Token 100, string data, line number 4
Token 154, string [, line number 4
Token 101, string 5, line number 4
Token 155, string ], line number 4
Token 148, string ;, line number 4
Token 112, string coumt, line number 5
Token 145, string <<, line number 5
Token 102, string Enter elements: , line number 5
Token 145, string <<, line number 5
Token 120, string endml, line number 5
Token 148, string ;, line number 5
Token 113, string whimle, line number 7
Token 152, string (, line number 7
Token 100, string i, line number 7
Token 137, string <, line number 7
Token 131, string =, line number 7
Token 101, string 4, line number 7
Token 153, string ), line number 7
Token 150, string {, line number 7
Token 111, string cimn, line number 8
Token 146, string >>, line number 8
Token 100, string data, line number 8
Token 154, string [, line number 8
Token 100, string i, line number 8
Token 155, string ], line number 8
Token 148, string ;, line number 8
Token 100, string i, line number 9
Token 141, string ++, line number 9
Token 148, string ;, line number 9
Token 151, string }, line number 10
Token 106, string chamr, line number 13
Token 100, string star, line number 13
Token 131, string =, line number 13
Token 103, string t, line number 13
Token 148, string ;, line number 13
Token 114, string fomr, line number 14
Token 152, string (, line number 14
Token 104, string inmt, line number 14
Token 100, string i, line number 14
Token 131, string =, line number 14
Token 101, string 0, line number 14
Token 148, string ;, line number 14
Token 100, string i, line number 14
Token 137, string <, line number 14
Token 101, string 5, line number 14
Token 148, string ;, line number 14
Token 141, string ++, line number 14
Token 100, string i, line number 14
Token 153, string ), line number 14
Token 150, string {, line number 14
Token 112, string coumt, line number 15
Token 145, string <<, line number 15
Token 120, string endml, line number 15
Token 145, string <<, line number 15
Token 126, string *, line number 15
Token 152, string (, line number 15
Token 100, string data, line number 15
Token 124, string +, line number 15
Token 100, string i, line number 15
Token 153, string ), line number 15
Token 148, string ;, line number 15
Token 151, string }, line number 16
Token 123, string returmn, line number 19
Token 101, string 0, line number 19
Token 148, string ;, line number 19
Token 151, string }, line number 20
